User handle,Text
@imsingh_harsh,"Mlon Eusk pulls out #TwitterDeal .
Return policy zaaakas????.
#Amazon #Flipkart #myntra you need to learn something ??????"
@SeedSpices,"Star anise has a very strong, distinct flavor that is warm, sweet, and spicy. https://t.co/80CyoapR4f I +91-9446004454I 15% OFF on Website orders I Available on @amazon @flipkart #seedtreespices #spices #seasoning #sourcedfromcoorg #spicesofindia #spicesandherbs #amazon #flipkart https://t.co/pT257uDgFn"
@ranaji_here,"@flipkartsupport I am your customer from more than 5years , earlier your service are top notch but now your customer care and services are very pathetic.
I ordered my grocery items which suppoes to deliver yesterday but now it's delayed for next week.
#Flipkart"
@agrawal_sugandh,"@Flipkart @_sachinbansal please look into this. Why shud I even pay u. 
Please change ur brand to ""foolskart"". That is what u r making us. #foolskart #flipkart 
# https://t.co/ZdFHKi6zXx"
@babureddybunny,@flipkartsupport why your support team is hanging up my calls when I am asking them to cancel my order. it's my order and my money.Answer why I am not able to cancel my order #flopkart #Flipkart #consumerforum
@SPathan092,"My product is blazer &amp; Flipkart send me winter jacket . they gave me the wrong product . when i complain i want my original product then they did not give any response . @Flipkart @flipkartsupport #Flipkart #fraud
 Kindly solve this or i complain to consumer court. https://t.co/JfcyCy0JuQ"
@RanaStorage,"? Canton Flow Rack for warehouse and Industrial use with affordable prices.
?? : pramod.rana@ranamhe.com, info@ranastorage.com
?? : https://t.co/pD4xJILiGw
?? :+91-9910015503
#Delhivery #EcomExpress #Shadowfax #Amazon #Xpressbees #Flipkart #DTDCExpress #Myntra #Materialhandling https://t.co/Q7Jk6MNVBU"
@Aarushi0519,"Flipkart is such a worst app. They are just making fool to the customer. Order some groceries item but many items was Missing. Already complaint but no response. Shame on you #Flipkart

@Flipkart @flipkartsupport"
@Kulu66610880,"Flipkart is a cheater company, i ordered 2 piece of perfume just one came inside package.. crook company #Flipkart #Walmart #ModiMustAnswer @Flipkart"
@pallavirai1424,"Please clear that why return is cancelled without any information why u are not picked up #flipkart @Flipkart

@consumercourtt
@flipkartsupport
@_Kalyan_K @DasShaktikanta @_sameernigam @jagograhakjago @DeptConsumerAff @consumerforum_ @ChiefIba @Anurag_Office @Consumer2Court https://t.co/JqsrsAfZ7I https://t.co/7lfD0JNVmJ"
@pallavirai1424,"Please clear that why return is cancelled without any information why u are not picked up #flipkart 

@consumercourtt
@flipkartsupport
@_Kalyan_K @DasShaktikanta @_sameernigam @jagograhakjago @DeptConsumerAff @consumerforum_ @ChiefIba @Anurag_Office @Consumer2Court https://t.co/vxZuGcSUxB"
@mesurendernegi,"Again @Flipkart @flipkartsupport has  changed the delivery date to 11 July. Order on 3 July, scheduled delivery on 5,delivery on 11 (even thats uncertain) only #Flipkart can do that in this day &amp; age of 10 minute deliveries. Plz cancel &amp; refund, I hv ordered from elsewhere https://t.co/ijMC7Wjjgo"
@AadityaPahada1,"Hiring for Flipkart work from home ????
#Jobs #conneqt #Flipkart @Quess_Corp @ConneqtBusiness https://t.co/UHUpR3Ozg1"
@CRakesh01,Atleast Respond Sir @_Kalyan_K Please Deliver my product its an a Emergency ?? Im not happy With These @flipkartsupport @elonmusk #Flipkart @Flipkart @FlipkartStories @WorkAtFlipkart https://t.co/9kmdAtXGkE
@AedinInsight,FREE AMAZON PRIME https://t.co/CDfFy9plLZ #amazon #amazonprime #amazondeals #kindle #amazonfinds #love #usa #onlineshopping #twitter #ebay #bookstagram #fashion #youtube #flipkart #spotify #itunes #amazonfashion #amazonseller #AmazonPrimeMembership https://t.co/ZggnO7Xjrc
@BYPLAY19,"T shirt craze never end.. love for t shirt??= energy of thunder??..get more benefits on your favorite t shirt, deal of the day is available on Flipkart shop now.. for more follow us..https://t.co/BgM0mxSvfm #discount #Offer #shopping #Sales #Flipkart #weekendvibes #tshirt #men https://t.co/eDtWbxLFqC"
@storyteller_ujj,@flipkartsupport I ordered this plant from #flipkart .they have sent me dried up dead shrub. Either refund the money or replace it. no action has yet been taken. no complaints registered https://t.co/bP9ZLfbD9w
@monu512,"#flipkartsupport #Flipkart
Sir in how many days / months your team will resolve my issue .Now its 3rd time your team cancelled my refund request against this . What could i do sir Ji ? I will suffer here since from 10 days . What should i do with this OD225205189954181000 https://t.co/ZeduJWEfWV"
@pallavirai1424,"Itne tweet k baad unlog ne return hi cancel kr please explain return cancel kyu hua #flipkart 
@BandBajaateRaho
@consumercourtt
@flipkartsupport
@_Kalyan_K @DasShaktikanta @_sameernigam @jagograhakjago @DeptConsumerAff @consumerforum_ @ChiefIba @Anurag_Office @Consumer2Court https://t.co/9Cj3uBfwaH"
@CyborgTrend,"Tecno spark 9 Launching Soon in India.

#Tecnospark9 #Flipkart gadgets #news #techies #leaks #5G #onlineshopping https://t.co/q4kN1tvVUf"
@PoetryHouse9,"@Flipkart i have called your costomer care more than 60 times this is how cheap and how much slow your service is still issue is not resolved.
@jagograhakjago 
#Flipkart"
@viveks756,My Friend @kuldeepmi7874 ordered @SamsungIndia galaxy watch 4 from @Flipkart  but they delivered toy watch inside the package. He also contacted @flipkartsupport but they rejected his return request. Never buy anything from @Flipkart . #Samsung #Flipkart #flipkartsupport https://t.co/qFW6GtbkWv
@moneycontrolcom,"Will it ultimately be inevitable for big e-commerce giants like Amazon and Flipkart to join the ONDC network? ??

ONDC CEO @KoshyTK believes so, here's why ?

@Sonal_MK #ECommerce #DigitalCommerce #ONDC #Amazon #Flipkart https://t.co/oyfpmsyK3M"
